scrape_date,price,price_per_m2,surface_m2,rooms,floor,max_floor,neighborhood,city,year_built,url
3/18/2026,126000,2016,62.49,2,3,,Tractorul,Brașov,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-tractorul-2-camere-237296406
3/18/2026,152000,1594,95.38,4,3,11,Drumul Taberei,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-drumul-taberei-4-camere-254784259
3/18/2026,132000,1592,82.9,3,4,11,Drumul Taberei,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-drumul-taberei-3-camere-254783896
3/18/2026,41200,1373,30,1,3,6,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-6-militari-27-mp-171665787
3/18/2026,94900,1818,52.2,1,4,8,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-pipera-522mp-268607954
3/18/2026,209900,1919,109.4,3,4,8,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-275210939
3/18/2026,161000,2417,66.6,3,0,4,Pipera,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-275210567
3/18/2026,104115,2449,42.52,1,1,8,Bartolomeu,Brașov,2027,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-brasov-bartolomeu-5564mp-273108184
3/18/2026,124730,2212,56.4,2,1,10,Tractorul,Brașov,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-tractorul-2-camere-270425065
3/18/2026,319000,2593,123,4,1,3,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-4-camere-272436927
3/18/2026,190000,2533,75,3,3,8,Pipera,Sector 1,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-260362617
