iter	MAE	RMSE
168	28469.57007	51264.04757
169	28430.08217	51107.43412
170	28410.41938	51037.30879
171	28352.65245	50930.52926
172	28331.42143	50858.45116
173	28299.79283	50775.60978
174	28271.14056	50694.57146
175	28248.65425	50660.35154
176	28220.46714	50607.51804
177	28167.17185	50501.2072
178	28137.62172	50398.23124
179	28122.26303	50354.10143
180	28105.33698	50296.81146
181	28089.65442	50276.15244
182	28070.63995	50223.94775
183	28045.78239	50129.66848
184	28014.76695	50028.86476
185	28000.30552	49994.21674
186	27987.80376	49958.35171
187	27969.8131	49917.98495
188	27926.35037	49749.34371
189	27895.33167	49610.76143
190	27849.74945	49526.64733
191	27823.19406	49465.49567
192	27766.99284	49364.9118
193	27726.17989	49278.66903
194	27668.97046	49150.11388
195	27645.80911	49119.72863
196	27605.37236	48966.13277
197	27593.77457	48933.14184
198	27578.36866	48892.37674
199	27556.43163	48856.18522
200	27522.81928	48726.64359
201	27500.36326	48642.55428
202	27469.61562	48553.03762
203	27431.48866	48482.90793
204	27402.15075	48419.40032
205	27376.84421	48355.68194
206	27350.17593	48291.17563
207	27315.52582	48226.8562
208	27303.42239	48188.43516
209	27273.45959	48107.30275
210	27244.06824	48018.7632
211	27218.38666	47951.66269
212	27184.05672	47853.79939
213	27148.59936	47789.48826
214	27111.56868	47654.2279
215	27081.04527	47580.13541
216	27064.90791	47559.40269
217	27035.35937	47494.50841
218	27015.73997	47451.05861
219	26990.53516	47379.47785
220	26934.1818	47201.43721
221	26905.03652	47127.94402
222	26892.17625	47094.84609
223	26860.48497	47022.72513
224	26836.44115	46966.83793
225	26825.60018	46906.06547
226	26798.27871	46839.96516
227	26778.57579	46783.43996
228	26743.0159	46734.20197
229	26715.96631	46676.77255
230	26677.85854	46579.52278
231	26634.24817	46428.62356
232	26616.59691	46373.15746
233	26586.69047	46307.77676
234	26549.14995	46171.8155
235	26535.6766	46154.58997
236	26519.76384	46126.51426
237	26479.73174	45979.97662
238	26460.95099	45916.40538
239	26430.80977	45878.4877
240	26406.55928	45789.93936
241	26363.74243	45651.85702
242	26344.18672	45598.62111
243	26313.74273	45526.25946
244	26296.73485	45468.43753
245	26276.58323	45432.12166
246	26256.00989	45381.5966
247	26212.03136	45331.23545
248	26202.4173	45297.81142
249	26192.13156	45265.38853
250	26171.73287	45230.65844
251	26162.06584	45204.22183
252	26150.86089	45177.16928
253	26102.59253	45056.55251
254	26085.98603	44997.10584
255	26052.73482	44934.9302
256	26032.47975	44890.58526
257	26006.91113	44844.35204
258	25982.61268	44753.46453
259	25955.90966	44705.35063
260	25944.32293	44674.31402
261	25927.31616	44624.73463
262	25897.68472	44584.85324
263	25876.54031	44496.49887
264	25856.14273	44461.96945
265	25831.08113	44405.28178
266	25816.5687	44359.52769
267	25798.75759	44301.39597
268	25777.73713	44256.27309
269	25766.44499	44228.12313
270	25733.89242	44154.83613
271	25714.34779	44116.68082
272	25694.5058	44035.36367
273	25675.02948	43982.27154
274	25655.26918	43915.86043
275	25642.19603	43865.86927
276	25620.4948	43807.75372
277	25603.99608	43751.56306
278	25566.26462	43683.88725
279	25539.45795	43630.09481
280	25524.70539	43606.4492
281	25517.02464	43585.28522
282	25497.27033	43548.39301
283	25482.46738	43526.74995
284	25456.47105	43463.61205
285	25428.88123	43397.52111
286	25420.17004	43370.24361
287	25402.28507	43329.25372
288	25393.85057	43313.74725
289	25383.36083	43280.61809
290	25356.43614	43206.13033
291	25336.58965	43148.17717
292	25310.13798	43072.34874
293	25294.623	43022.2987
294	25277.12757	42988.36545
295	25262.54207	42955.40598
296	25240.10707	42898.64544
297	25231.9527	42873.51016
298	25194.54265	42814.74182
299	25184.38937	42778.33847
300	25153.14807	42726.29058
301	25136.54332	42676.49604
302	25118.41523	42632.73716
303	25103.18531	42582.22607
304	25084.56777	42540.75969
305	25067.53051	42501.18086
306	25054.11851	42452.49615
307	25039.34313	42405.09399
308	25014.65035	42352.59656
309	25003.40379	42301.35087
310	24983.9165	42253.79289
311	24969.46787	42218.57146
312	24956.90088	42174.52012
313	24933.35824	42115.29059
314	24906.60474	42074.69446
315	24882.03119	42045.87575
316	24868.50533	42000.03319
317	24856.27652	41957.83383
318	24834.69909	41884.56874
319	24823.24691	41842.95423
320	24813.98317	41830.59316
321	24796.37063	41793.89011
322	24782.98404	41754.12062
323	24754.09461	41702.55145
324	24738.73079	41663.57266
325	24720.23895	41604.11368
326	24709.0116	41563.05884
327	24685.16888	41531.5184
328	24670.26411	41508.82293
329	24648.60615	41468.43845
330	24631.94057	41424.0023
331	24616.31201	41382.24006
332	24599.24358	41346.17023
333	24579.49046	41318.1531
334	24552.39343	41242.27725
335	24538.31559	41195.33542
336	24520.48728	41163.48342
337	24503.49525	41117.67794
338	24483.68222	41089.2124
339	24465.15517	41041.30542
340	24455.24386	41007.74025
341	24443.44674	40945.87078
342	24433.10759	40917.42521
343	24420.88065	40881.59807
344	24389.79162	40828.1613
345	24375.7126	40807.29379
346	24348.79844	40767.80838
347	24331.34809	40729.89253
348	24307.50615	40654.90077
349	24282.48747	40618.02512
350	24270.95962	40586.91668
351	24263.44213	40568.01373
352	24245.01057	40532.26124
353	24226.93033	40514.8343
354	24213.70937	40480.47463
355	24200.1004	40451.31093
356	24191.9442	40428.14081
357	24183.86724	40402.57559
358	24167.06104	40349.29855
359	24149.83051	40304.16216
360	24138.75598	40253.3694
361	24131.07297	40215.49044
362	24110.51499	40179.73412
363	24095.69013	40147.36503
364	24074.33244	40085.78824
365	24045.0207	40048.06938
366	24027.89099	40002.57273
367	24012.52257	39959.94738
368	24004.91629	39938.62547
369	23986.45557	39920.09116
370	23979.66365	39897.12792
371	23966.69327	39872.03571
372	23950.04922	39836.75477
373	23936.10315	39806.88594
374	23922.92281	39780.31917
375	23904.32715	39714.08536
376	23892.48944	39678.3548
377	23881.17857	39651.99039
378	23861.92151	39597.97915
379	23838.99083	39562.90647
380	23830.56929	39539.19663
381	23815.35568	39490.17971
382	23792.64793	39451.38609
383	23786.53325	39431.50958
384	23777.005	39403.06312
385	23746.93741	39353.51418
386	23731.73963	39324.82112
387	23711.09308	39284.37152
388	23697.86896	39258.37531
389	23682.7364	39222.27265
390	23669.32543	39192.32146
391	23660.50407	39167.64608
392	23646.97823	39136.24143
393	23635.1509	39089.35536
394	23625.27507	39069.06748
395	23611.73327	39028.5307
396	23604.19331	38996.42032
397	23586.90505	38959.62642
398	23576.72346	38934.59054
399	23568.02553	38913.90769
400	23540.07602	38871.36268
401	23520.30248	38813.34714
402	23496.48113	38752.62816
403	23480.97276	38730.42753
404	23471.96786	38700.75991
405	23462.63811	38673.87956
406	23444.63619	38639.10467
407	23434.3761	38618.07829
408	23414.94848	38557.50137
409	23398.48123	38519.34344
410	23380.51476	38469.27689
411	23369.87916	38440.8747
412	23341.33446	38386.70194
413	23318.47782	38351.80785
414	23305.85024	38326.79629
415	23297.59699	38299.71305
416	23274.71028	38261.48588
417	23260.28253	38227.0069
418	23232.52605	38162.51243
419	23224.92025	38140.25577
420	23215.54991	38124.80483
421	23193.51969	38067.4109
422	23173.72691	38025.30879
423	23149.22085	37985.70653
424	23129.04851	37949.96721
425	23117.08038	37905.35389
426	23098.49757	37876.84046
427	23090.44135	37855.61092
428	23068.64243	37815.98295
429	23060.45462	37784.26316
430	23041.46728	37760.87977
431	23024.11187	37729.17196
432	23012.90605	37702.10286
433	22994.96448	37671.90288
434	22981.34227	37644.36986
435	22969.71607	37621.22842
436	22959.0193	37597.59771
437	22943.35954	37562.62723
438	22933.22959	37543.70476
439	22924.38202	37504.93544
440	22910.89699	37480.39324
441	22900.46529	37450.18578
442	22886.84721	37430.62084
443	22876.44402	37414.23628
444	22851.1488	37373.59797
445	22818.98874	37332.83185
446	22804.84551	37307.17667
447	22784.17458	37257.81955
448	22766.78083	37229.70265
449	22745.57335	37162.10881
450	22728.05888	37125.96279
451	22712.32335	37098.10683
452	22689.45878	37062.49008
453	22676.11909	37044.13994
454	22657.45666	37011.66009
455	22651.94171	36985.73742
456	22634.56869	36956.19497
457	22608.3434	36911.53216
458	22596.64692	36879.66036
459	22577.60591	36849.27707
460	22567.00606	36814.99375
461	22553.27664	36787.70571
462	22539.00131	36762.48211
463	22529.36812	36731.72477
464	22506.55657	36694.08049
465	22495.18068	36652.97523
466	22486.18793	36638.58118
467	22470.00752	36598.19853
468	22453.73159	36564.9095
469	22442.66681	36546.80259
470	22435.06099	36519.52705
471	22420.09105	36490.25881
472	22412.6384	36478.51791
473	22393.82674	36450.8657
474	22373.39641	36414.97712
475	22361.62971	36378.31344
476	22348.86479	36348.62306
477	22325.17278	36306.96669
478	22311.63405	36281.97874
479	22300.39434	36272.08453
480	22285.92447	36244.49305
481	22272.73535	36224.30186
482	22263.0705	36207.32114
483	22259.38904	36197.90831
484	22250.6004	36170.68704
485	22240.70401	36148.06501
486	22230.39709	36123.60073
487	22226.9111	36115.01311
488	22209.33602	36082.83292
489	22202.02064	36055.3568
490	22192.08752	36035.41098
491	22185.76138	36013.79268
492	22165.29265	35976.9577
493	22153.13744	35957.62921
494	22137.34969	35926.24335
495	22121.72901	35909.29007
496	22108.4869	35881.04887
497	22089.76577	35851.59013
498	22080.3784	35824.18906
499	22065.90898	35791.79714
500	22054.47577	35765.95339
501	22043.10592	35736.27477
502	22030.03628	35699.55889
503	22020.30756	35680.60108
504	22012.41404	35666.08787
505	22003.2295	35642.83677
506	21986.43652	35616.74681
507	21980.73308	35607.39089
508	21956.54511	35570.04913
509	21948.37009	35547.214
510	21933.82288	35526.41019
511	21923.71789	35507.41014
512	21913.83191	35485.97477
513	21899.57681	35465.0783
514	21886.98777	35426.22479
515	21877.59413	35415.32798
516	21857.52495	35387.95546
517	21849.46801	35368.00777
518	21835.31647	35339.81171
519	21814.88955	35301.24646
520	21797.55492	35252.86942
521	21788.49377	35235.79212
522	21775.49204	35217.4118
523	21766.03168	35198.88417
524	21757.31364	35181.54201
525	21747.58269	35159.59199
526	21725.42168	35099.91749
527	21718.92253	35081.00928
528	21713.86082	35064.23199
529	21692.70421	35022.68375
530	21684.51127	35010.3371
531	21673.25189	34983.87536
532	21661.12097	34966.86372
533	21645.38258	34950.52569
534	21639.56575	34931.38179
535	21635.94691	34914.53004
536	21630.75218	34901.37074
537	21623.36183	34890.47093
538	21614.29157	34867.63488
539	21608.24208	34840.57669
540	21597.30963	34820.17993
541	21591.90545	34808.21379
542	21583.67639	34781.80846
543	21573.41723	34757.97612
544	21566.07744	34745.19511
545	21554.05302	34716.02038
546	21544.97862	34696.56665
547	21536.30733	34683.08558
548	21525.87305	34653.74856
549	21513.62876	34632.1263
550	21507.00146	34615.88814
551	21493.31393	34599.17108
552	21480.78381	34549.10379
553	21465.56432	34529.58472
554	21462.73161	34515.65567
555	21445.4884	34489.08771
556	21434.60966	34471.77456
557	21415.37109	34444.42041
558	21413.07883	34440.59377
559	21410.58585	34432.36348
560	21404.2637	34415.7942
561	21394.46905	34384.68039
562	21381.52681	34370.3098
563	21361.08149	34331.55255
564	21352.84215	34319.30422
565	21346.06978	34294.90278
566	21326.87995	34262.9429
567	21322.59273	34251.0054
568	21318.62662	34240.3979
569	21304.92186	34204.12458
570	21295.65185	34190.78283
571	21285.794	34176.70026
572	21266.50704	34148.63018
573	21258.69558	34133.07236
574	21252.5535	34120.66967
575	21242.34155	34098.20229
576	21232.4058	34085.92632
577	21230.18181	34078.43308
578	21217.89568	34049.23004
579	21205.18192	34028.98143
580	21193.32045	34011.31501
581	21177.68419	33983.77603
582	21172.10541	33964.37466
583	21152.57997	33941.94679
584	21140.3982	33905.97045
585	21123.69429	33877.66617
586	21111.46122	33858.39083
587	21104.26119	33842.09038
588	21093.12044	33796.50624
589	21083.2819	33769.34213
590	21078.22255	33752.33477
591	21073.41087	33733.62228
592	21067.81516	33719.05529
593	21053.71935	33699.22978
594	21045.12793	33686.79547
595	21035.22943	33661.06542
596	21025.99111	33644.30179
597	21006.4447	33619.7383
598	21001.66532	33604.63973
599	20990.36552	33581.98488
600	20987.51424	33570.35195
601	20982.41071	33559.57367
602	20965.8954	33513.31836
603	20959.58332	33498.01575
604	20950.38703	33482.33362
605	20941.83558	33455.45896
606	20935.36311	33438.39165
607	20919.90048	33406.13598
608	20910.57521	33394.93478
609	20894.27047	33359.89421
610	20880.22766	33342.12589
611	20874.07769	33319.90057
612	20869.92703	33308.11008
613	20861.26193	33289.31226
614	20852.66791	33280.31842
615	20840.87062	33256.47448
616	20833.1109	33243.87461
617	20818.49593	33202.48554
618	20804.31055	33173.68126
619	20794.72535	33156.13715
620	20782.45161	33132.07597
621	20774.22803	33112.63922
622	20767.19906	33085.44434
623	20761.29912	33075.21933
624	20757.47568	33061.64384
625	20741.90864	33019.64535
626	20737.38443	33009.76209
627	20725.69014	32983.01687
628	20717.50656	32975.14362
629	20711.00272	32961.80372
630	20700.92852	32939.91794
631	20683.57078	32911.12353
632	20675.78589	32900.45323
633	20663.56607	32883.91893
634	20652.76751	32870.82398
635	20636.71987	32842.55548
636	20635.11263	32836.45799
637	20625.99915	32819.29207
638	20617.77883	32803.82906
639	20602.39242	32784.39722
640	20591.39873	32765.99924
641	20586.39337	32761.57441
642	20577.3967	32748.91817
643	20572.92434	32739.98555
644	20565.06648	32728.27089
645	20560.02917	32722.3316
646	20552.73134	32704.7674
647	20546.89385	32697.88553
648	20542.20767	32686.84902
649	20536.17301	32680.98127
650	20531.24051	32661.05297
651	20524.05141	32650.95333
652	20512.60832	32629.03228
653	20505.52888	32615.87008
654	20490.90094	32592.66243
655	20482.88566	32581.36498
656	20474.83269	32559.75558
657	20467.1997	32552.94919
658	20459.39975	32542.36076
659	20449.89443	32525.3223
660	20445.9119	32522.08212
661	20439.10695	32507.35348
662	20434.85057	32492.55678
663	20427.77503	32476.89087
664	20423.97388	32461.85487
665	20417.79173	32442.07203
666	20412.68821	32427.24203
667	20405.8259	32415.13165
668	20392.84597	32386.4081
669	20385.82304	32381.99133
670	20376.20715	32358.28782
671	20372.54761	32350.06396
672	20365.94502	32331.84413
673	20359.72238	32318.47894
674	20354.10443	32299.563
675	20339.56203	32282.68527
676	20328.08643	32260.16455
677	20323.6177	32247.44739
678	20309.02991	32224.05792
679	20306.36325	32214.3914
680	20293.74179	32188.98013
681	20288.75023	32177.40542
682	20276.19502	32155.3894
683	20269.86587	32145.4323
684	20262.26283	32126.59228
685	20254.67477	32102.59162
686	20245.6	32088.07421
687	20242.21943	32077.76132
688	20235.3322	32066.08318
689	20222.78051	32044.70247
690	20212.68239	32029.7111
691	20205.83927	32017.84674
692	20199.91573	32008.52851
693	20190.26713	31995.40288
694	20182.91398	31977.57999
695	20174.47051	31965.08027
696	20169.01298	31953.82036
697	20164.6624	31944.45744
698	20158.44311	31933.97206
699	20155.11914	31926.48381
700	20144.9742	31913.95799
701	20139.84312	31908.93842
702	20135.8373	31898.22496
703	20124.53679	31872.81697
704	20113.88452	31855.62631
705	20108.79597	31846.60448
706	20090.5597	31819.06545
707	20083.64773	31807.03093
708	20078.43031	31797.73198
709	20074.19481	31783.43008
710	20062.78157	31764.18777
711	20053.52333	31753.32855
712	20040.00784	31715.03798
713	20034.62338	31702.39839
714	20031.46215	31692.60499
715	20026.44224	31682.18303
716	20020.82349	31666.51289
717	20013.8676	31652.76011
718	20008.29473	31643.4277
719	20001.51205	31629.25512
720	19990.43892	31605.27735
721	19985.31743	31597.08391
722	19968.65455	31577.27467
723	19959.76395	31563.93953
724	19953.72397	31550.25916
725	19943.04764	31533.08818
726	19938.78686	31517.92867
727	19933.9896	31509.79005
728	19928.32131	31491.53508
729	19918.05174	31474.18286
730	19909.62913	31459.23462
731	19897.05387	31439.33173
732	19895.94066	31437.15495
733	19888.90804	31425.55963
734	19881.20835	31398.7304
735	19872.64912	31388.01583
736	19868.59886	31381.71232
737	19858.13911	31358.58922
738	19848.9074	31332.18558
739	19840.19916	31319.80691
740	19826.05286	31292.97693
741	19822.16023	31283.21219
742	19811.89935	31268.15555
743	19804.78621	31256.68679
744	19793.57509	31240.49152
745	19787.21223	31229.19735
746	19777.18691	31207.57379
747	19769.84287	31182.90702
748	19764.54174	31164.29354
749	19756.10937	31132.6468
750	19748.64027	31117.85017
751	19739.06332	31096.90108
752	19722.32147	31072.63233
753	19716.34177	31054.35213
754	19705.28407	31030.16354
755	19700.80124	31012.84364
756	19695.19306	31007.15411
757	19690.47349	30999.66618
758	19687.17057	30984.45951
759	19681.74991	30975.16571
760	19677.61673	30964.68006
761	19667.48323	30956.95035
762	19653.3806	30941.36231
763	19641.35263	30925.79061
764	19629.3884	30909.20748
765	19623.54725	30901.24718
766	19613.6205	30884.51528
767	19607.62177	30869.6294
768	19599.26716	30851.07372
769	19593.69089	30834.69889
770	19583.83462	30821.69673
771	19576.44514	30806.75087
772	19569.22511	30783.26958
773	19565.01751	30769.78111
774	19559.92766	30755.02518
775	19558.83734	30750.34007
776	19554.78074	30745.37848
777	19544.97151	30731.70146
778	19542.57337	30721.60358
779	19538.83161	30708.91394
780	19527.51477	30676.71631
781	19520.17976	30648.5922
782	19507.15	30618.60257
783	19501.31532	30609.01264
784	19488.6539	30589.73202
785	19486.30977	30582.72949
786	19475.05577	30563.46457
787	19471.12045	30555.1839
788	19461.8235	30546.36614
789	19455.88898	30534.79637
790	19444.89464	30519.45901
791	19440.92907	30508.67995
792	19431.10858	30489.39932
793	19426.42394	30482.09138
794	19419.96272	30471.54422
795	19416.31647	30466.29271
796	19408.24042	30458.42535
797	19401.74339	30441.87381
798	19393.05861	30432.00299
799	19387.94018	30424.42152
800	19374.12542	30407.66927
801	19365.52117	30397.4191
802	19357.89495	30386.30898
803	19347.74967	30367.69499
804	19337.44486	30351.19277
805	19330.25678	30335.01621
806	19321.07697	30313.93299
807	19315.6764	30307.71436
808	19313.30715	30299.74776
809	19303.26473	30279.657
810	19298.83849	30263.58392
811	19292.61225	30246.15431
812	19285.37109	30236.92367
813	19269.14196	30220.29285
814	19259.17074	30206.39032
815	19251.04895	30193.48997
816	19246.38624	30181.99365
817	19238.64475	30170.81532
818	19229.9352	30157.95382
819	19224.28058	30148.87799
820	19218.35877	30138.40194
821	19209.76262	30121.59716
822	19205.68328	30110.25622
823	19197.54597	30097.39606
824	19191.43294	30085.80023
825	19184.55804	30069.88605
826	19177.46748	30061.25246
827	19169.13415	30044.99446
828	19153.55614	30019.86587
829	19148.14682	30009.7315
830	19141.12386	29993.96702
831	19137.04731	29980.25879
832	19131.34364	29969.88021
833	19128.22648	29957.63481
834	19120.03891	29945.94361
835	19115.05155	29934.63252
836	19110.66738	29925.58654
837	19102.17695	29909.42311
838	19096.65163	29895.47637
839	19092.91922	29884.6213
840	19090.00495	29873.34998
841	19085.87034	29866.1698
842	19078.35395	29852.57278
843	19075.62967	29845.05264
844	19069.62054	29828.25767
845	19066.46823	29821.6165
846	19056.33051	29811.3014
847	19042.33286	29791.05017
848	19033.09043	29773.10292
849	19025.98889	29758.63002
850	19019.13752	29752.02249
851	19012.43989	29737.05803
852	19009.14354	29732.1901
853	19004.41983	29722.69681
854	19000.56372	29713.06603
855	18993.72857	29704.47884
856	18990.68356	29692.96631
857	18981.67943	29667.72022
858	18977.055	29653.92855
859	18972.68471	29643.94661
860	18966.41192	29621.91325
861	18958.35045	29606.11324
862	18956.35797	29600.63585
863	18952.56918	29588.15556
864	18939.776	29571.17163
865	18932.13535	29562.43957
866	18930.56136	29556.56154
867	18924.10193	29545.49645
868	18920.21541	29539.18811
869	18912.20745	29524.22417
870	18904.01766	29509.74864
871	18897.27388	29496.54491
872	18886.40572	29481.21733
873	18875.80911	29468.00764
874	18870.3316	29459.11758
875	18858.40881	29440.85732
876	18851.00797	29432.83153
877	18846.22787	29424.50796
878	18839.96918	29411.52131
879	18836.28353	29401.98904
880	18830.44313	29396.09174
881	18821.84499	29380.22294
882	18814.63087	29364.70213
883	18810.49613	29355.50143
884	18805.74066	29351.65065
885	18802.90352	29344.27018
886	18799.43258	29339.47406
887	18796.27472	29328.30991
888	18790.54439	29313.93483
889	18782.47753	29304.81236
890	18779.14722	29293.91323
891	18773.7671	29278.43299
892	18770.03742	29270.06172
893	18764.00609	29256.50026
894	18755.97269	29247.54482
895	18750.30173	29241.63708
896	18745.15048	29229.64834
897	18738.76846	29218.41133
898	18729.51084	29207.66389
899	18719.47773	29192.97551
900	18715.35032	29185.19904
901	18708.61176	29174.73282
902	18703.07411	29165.23239
903	18689.96569	29149.1624
904	18680.62194	29137.31556
905	18675.62785	29125.07273
906	18671.52612	29112.30699
907	18664.98346	29101.07781
908	18660.52275	29092.13228
909	18654.88338	29072.48228
910	18647.38641	29064.59291
911	18635.1071	29049.45843
912	18628.3847	29043.27384
913	18622.76748	29026.11012
914	18616.07086	29017.82413
915	18609.38432	29007.21922
916	18597.41084	28990.86299
917	18593.68533	28978.92184
918	18589.44558	28971.89626
919	18586.88821	28964.32027
920	18583.3177	28954.08833
921	18580.15263	28948.74503
922	18578.62676	28942.70394
923	18570.01771	28930.46006
924	18567.52772	28927.65815
925	18561.94475	28920.11481
926	18550.7259	28905.35763
927	18546.75194	28889.25775
928	18540.20364	28880.04391
929	18536.33215	28872.75445
930	18527.78581	28855.59416
931	18523.29448	28847.81391
932	18512.95705	28827.61257
933	18507.99713	28817.21341
934	18505.84439	28810.93325
935	18500.04127	28799.18254
936	18491.84362	28789.05248
937	18482.85369	28775.60702
938	18478.56375	28765.81213
939	18474.36644	28755.65697
940	18468.68909	28746.04404
941	18462.90439	28734.73851
942	18453.12777	28725.97343
943	18450.94967	28720.82399
944	18444.41054	28709.26237
945	18436.16071	28700.14957
946	18428.19683	28692.75767
947	18415.63811	28676.42074
948	18414.16883	28670.9153
949	18410.27253	28659.29149
950	18406.87156	28654.04541
951	18401.54613	28638.92873
952	18394.89752	28610.70786
953	18383.52357	28594.99729
954	18379.32825	28585.08267
955	18376.54618	28580.02103
956	18372.557	28572.23142
957	18364.55001	28546.94003
958	18360.5203	28539.6036
959	18356.77686	28525.33303
960	18347.09349	28512.47385
961	18338.58564	28498.53289
962	18332.22199	28489.48795
963	18324.55663	28480.88833
964	18316.77784	28463.6903
965	18308.30468	28447.58034
966	18298.55597	28436.05964
967	18292.77976	28427.15799
968	18287.5695	28419.71761
969	18277.41614	28400.49886
970	18273.00675	28389.5044
971	18268.69434	28383.9721
972	18260.1972	28368.877
973	18255.4968	28357.10909
974	18249.4363	28332.81822
975	18245.27864	28325.75575
976	18239.26499	28310.92835
977	18236.45943	28302.19337
978	18225.60693	28287.15342
979	18219.12327	28277.99236
980	18214.29086	28270.35977
981	18208.71243	28261.42308
982	18206.49105	28256.5509
983	18198.99561	28245.61857
984	18195.4274	28240.22193
985	18192.55592	28231.80553
986	18189.22835	28225.44297
987	18182.44837	28216.07427
988	18177.30267	28211.01979
989	18173.11888	28205.65144
990	18165.78678	28197.74696
991	18161.45839	28188.10099
992	18157.38492	28178.83466
993	18152.39526	28168.82489
994	18147.55304	28157.85775
995	18139.20168	28141.04767
996	18132.70988	28126.62296
997	18128.97315	28118.72363
998	18122.80947	28112.80214
